weight;zone1;zone2;zone3;zone4;zone5
"0.5";"41";"47";"62";"68";"76"
"1";"47";"52";"68";"81";"90"
"1.5";"54";"61";"75";"93";"103"
"2";"60";"70";"82";"105";"114"
"2.5";"68";"114";"89";"116";"127"
"3";"75";"89";"97";"126";"140"
"3.5";"83";"99";"104";"137";"153"
"4";"90";"108";"111";"147";"165"
"4.5";"98";"118";"120";"158";"178"
"5";"105";"125";"178";"169";"191"
